Order,Placing,Name,R1-P,R1-W,R1-W-Low,R2-P,R2-W,R2-W-Low,R3-P,R3-W,R3-W-Low,,,,,,,,,,,,,Points,Weight
1,1st,Danny Mason,1,13-13,,1,26-06,,1,31-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,71-12
2,2nd,Andy Mead,1,19-08,,1,7-15,,1,26-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,53-07
3,3rd,Bob Nudd,3,18-12,,1,28-04,,1,19-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,66-00
4,4th,Mark Campion,2,18-13,,2,13-03,,1,17-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,5,49-12
5,5th,Alan Luetchford,1,17-15,,3,22-03,,2,30-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,70-05
6,6th,Gary Fuller,2,17-09,,2,22-08,,2,12-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,52-11
7,7th,Martin Caldecoat,4,15-11,,1,15-15,,1,19-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,51-00
8,8th,Steve Clark,1,22-05,,3,4-15,,2,19-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,46-14
9,9th,Lee Lawrence,4,17-06,,1,22-10,,2,12-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,52-13
10,10th,Dave McCall,3,12-05,,1,27-11,,3,11-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,51-05
11,11th,Robert Hubbard,2,31-06,,2,17-14,,4,22-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,71-09
12,12th,Matt Page,5,15-08,,2,18-01,,1,31-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,65-03
13,13th,Kevin Paynter,1,26-13,,3,17-11,,4,6-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,51-03
14,14th,Steve Kindleysides,4,8-10,,2,21-02,,2,20-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,50-08
15,15th,Steve O'Rourke,1,19-15,,4,21-02,,4,18-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,59-03
16,16th,Mick Hanks,2,22-14,,1,28-08,,6,5-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,56-10
17,17th,Dave Pike,4,20-06,,3,18-12,,3,22-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,61-10
18,17th,Paul Chambers,1,24-11,,5,15-06,,4,21-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,61-10
19,19th,Adrian Hindry,3,16-00,,2,22-03,,5,11-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,50-01
20,20th,Gary McClair,5,14-01,,2,7-09,,3,10-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,32-02
21,21st,Dave Edwards,6,17-07,,4,15-14,,1,28-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,61-08
22,22nd,Simon Smith,3,8-13,,6,13-13,,2,24-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,47-05
23,23rd,Ian Holmes,7,10-02,,2,25-01,,2,7-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,42-06
24,24th,Paul Smith,7,7-11,,1,7-01,,3,22-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,36-15
25,25th,Julian Collop,3,14-14,,7,11-12,,1,7-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,34-07
26,26th,Matt Corne,3,20-09,,7,11-13,,2,25-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,57-13
27,27th,Trevor Stacey,2,12-01,,6,12-01,,4,15-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,39-15
28,28th,Mark Banks,2,21-04,,7,1-12,,3,14-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,37-13
29,29th,Jeannette Halliday,4,11-11,,5,14-04,,3,6-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,32-11
30,30th,Richard Alexander,2,10-05,,3,5-00,,7,14-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,30-04
31,31st,Paul Abbott,7,9-12,,3,18-11,,3,23-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,51-07
32,32nd,Dave Gooch,3,18-12,,7,3-08,,3,19-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,41-10
33,33rd,Justin Newton,1,16-11,,5,13-05,,7,10-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,40-05
34,34th,Billy Hughes,4,11-07,,5,3-08,,4,18-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,33-10
35,35th,Paul Hudson,2,12-01,,6,2-10,,5,14-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,29-06
36,36th,Simon Pointer,7,16-10,,1,19-03,,6,14-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,50-05
37,37th,Dick Transer,7,11-12,,5,18-11,,2,19-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,49-11
38,38th,John Taylor,5,17-01,,3,10-08,,6,12-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,40-01
39,39th,Robert Houlding,2,16-01,,5,7-04,,7,11-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,34-07
40,40th,Ken Pacey,2,14-10,,7,8-13,,5,6-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,29-13
41,41st,Mick Mirgaux,7,5-13,,2,5-01,,5,16-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,27-01
42,42nd,Glenn Hubbard,1,41-07,,7,9-10,,7,14-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,65-15
43,43rd,Chris Nichols,7,13-02,,7,13-10,,1,23-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,50-00
44,44th,Paul Murrin,6,12-12,,2,22-03,,7,11-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,46-07
45,45th,Charlie Copsey,7,6-11,,3,17-09,,5,19-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,44-02
46,46th,Nick Larkin,4,15-10,,7,15-10,,4,7-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,38-12
47,47th,Martin Spence,5,11-02,,4,16-06,,6,4-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,32-06
48,48th,Mark Haverson,5,10-15,,4,3-13,,6,15-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,30-01
49,49th,Ben Jackson,7,9-03,,4,4-11,,4,13-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,27-05
50,50th,Brian Weavers,5,20-02,,5,13-15,,6,17-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,51-09
51,51st,Dave Wray,7,10-10,,4,19-00,,5,14-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,43-11
52,52nd,Peter Jackson,6,7-07,,7,8-04,,3,20-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,36-05
53,53rd,Andy Ison,4,16-09,,7,7-02,,5,5-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,29-03
54,54th,John Brice,6,9-01,,4,16-01,,7,14-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,39-08
55,55th,Barry Oliver,6,16-12,,6,4-00,,5,15-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,36-03
56,56th,Simon White,7,12-03,,4,9-02,,6,11-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,32-11
57,57th,Gary Abbott,4,14-12,,5,11-00,,8,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,25-12
58,58th,Tony Curtis,3,18-08,,7,6-05,,8,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,24-13
59,59th,Clare Middleton,7,7-09,,7,7-11,,4,6-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,21-15
60,60th,Tony Gibbons,5,12-03,,5,4-06,,8,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,18,16-09
61,61st,Dean Constable,6,10-00,,6,13-10,,7,12-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,36-02
62,62nd,Doug Botley,6,12-02,,6,12-14,,7,9-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,34-09
63,63rd,Paul Tabron,6,10-15,,6,15-14,,7,7-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,33-13
64,64th,Matt Gould,5,8-00,,7,8-10,,7,11-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,28-03
65,65th,Karl Redgrave,7,9-07,,4,16-14,,8,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,26-05
66,66th,Simon Newman,7,9-15,,7,3-02,,5,7-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,20-01
