Order,Placing,Name,R1-P,R1-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,
1,1st,James Bensley,1,50-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,1,50-05,1st,50-05
2,2nd,Paul Chambers,1,32-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,1,32-08,2nd,32-08
3,3rd,Graham West,1,27-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,1,27-07,5th,27-07
4,4th,Jed White,1,21-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,1,21-12,11th,21-12
5,5th,Tony Curtis,1,20-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,1,20-09,12th,20-09
6,6th,Simon Newman,1,18-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,1,18-14,19th,18-14
7,7th,Tony Morris,2,31-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,31-12,3rd,31-12
8,8th,Robert Houlding,2,28-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,28-15,4th,28-15
9,9th,Robert Hubbard,2,26-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,26-13,6th,26-13
10,10th,Andy Leathers,2,20-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,20-08,13th,20-08
11,11th,Justin Newton,2,18-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,18-14,19th,18-14
12,12th,Paul Abbott,2,18-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,2,18-05,22nd,18-05
