Order,Placing,Name,R1-P,R1-W,,R2-P,R2-W,,R3-P,R3-W,,,,,,,,,,,,,,,,,,,,,,,Points,Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1st,Paul Chambers,1,32-08,,1,26-00,,1,34-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,3,93-01,1st,93-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2nd,Jed White,1,21-12,,1,29-03,,2,14-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,4,65-00,3rd,65-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,3rd,James Bensley,1,50-05,,2,17-15,,3,17-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,86-03,2nd,86-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,4th,Robert Houlding,2,28-15,,2,13-07,,2,18-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,6,60-12,5th,60-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5th,Andy Leathers,2,20-08,,1,18-06,,5,19-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,57-15,6th,57-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,6th,Graham West,1,27-07,,4,16-09,,3,11-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,55-03,12th,55-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7th,Ray Malle,3,16-14,,3,17-10,,3,28-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,62-12,4th,62-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,8th,Justin Newton,2,18-14,,6,17-10,,1,16-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,9,53-00,14th,53-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,9th,Nick Atkins,4,17-06,,5,18-00,,1,22-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,57-08,7th,57-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10th,Robert Hubbard,2,26-13,,3,19-15,,5,10-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,57-04,8th,57-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11th,Ade Hindry,3,16-15,,6,11-08,,1,28-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,57-00,9th,57-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12th,Andy Wilding,5,19-13,,3,17-05,,2,18-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,55-04,10th,55-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13th,Les King,4,15-09,,5,10-07,,2,29-04,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,55-04,10th,55-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14th,Kevin Fuller,3,23-01,,5,15-03,,4,15-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,53-09,13th,53-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15th,Paul Abbott,2,18-05,,7,10-05,,3,19-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,47-15,18th,47-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16th,Steve O'Rourke,6,15-10,,2,18-07,,4,11-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,45-15,24th,45-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17th,Brian Weavers,5,14-11,,5,15-09,,2,14-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,45-03,26th,45-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18th,Simon Newman,1,18-14,,2,16-06,,10,10-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,45-12,25th,45-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19th,Ken Pacey,6,10-15,,4,13-10,,4,22-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,14,47-04,20th,47-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20th,Glenn Lawrence,8,17-00,,6,15-01,,1,18-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,15,50-13,16th,50-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21st,Terry Moroz,9,9-15,,1,25-10,,6,16-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,52-05,15th,52-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22nd,Mick Hanks,4,22-03,,3,12-11,,9,10-01,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,44-15,27th,44-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23rd,Kevin Paynter,3,18-11,,4,18-14,,9,6-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,44-06,28th,44-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24th,Steve Day,8,10-01,,6,10-06,,2,20-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,41-05,31st,41-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25th,Barry Rogers,7,17-01,,4,12-10,,5,10-02,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,39-13,36th,39-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26th,Karl Redgrave,7,12-01,,1,19-06,,8,8-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,39-10,39th,39-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
