Order,Zone,Section,RiverBank,River,Count,Ref,League,Peg,Angler,Pairing,Weight,SectionPoints,SectionPayout,ZonePoints,ZonePayout,MatchPosition
1,A,1,Martham Ronds,Thurne,1,1.1,white,18,Mark Banks,Mark Banks & Alan Luetchford,17-06,2,,3,3rd,
2,A,1,Martham Ronds,Thurne,2,1.2,white,19,Steve Clark,Paul Abbott & Steve Clark,21-11,1,1st,1,1st,4th
3,A,1,Martham Ronds,Thurne,3,1.3,white,21,Kevin Knights,Kevin Knights & Neil Smith,7-04,7,,13,,
4,A,1,Martham Ronds,Thurne,4,1.4,white,22,Karl Dowse,Karl Dowse & Mick Hanks,13-01,5,,6,,
5,A,1,Martham Ronds,Thurne,5,1.5,white,23,Gary Abbott,Gary Abbott & Doug Botley,14-14,4,,5,,
6,A,1,Martham Ronds,Thurne,6,1.6,white,24,Glenn Hubbard,Glenn Hubbard & Robert Hubbard,11-01,6,,7,,
7,A,1,Martham Ronds,Thurne,7,1.7,white,25,Brian Bygrave,Brian Bygrave & Tony Gibbons,15-01,3,,4,,
8,A,2,Martham High's Mill,Thurne,1,2.1,white,29,Warren Martin,Daniel Brydon & Warren Martin,3-07-00,7,,14,,
9,A,2,Martham High's Mill,Thurne,2,2.2,white,30,Derek Adcock,Derek Adcock & Jason Brewster,9-01-04,5,,11,,
10,A,2,Martham High's Mill,Thurne,3,2.3,white,31,Chris Sykes,Lee Lawrence & Chris Sykes,9-03-04,4,,10,,
11,A,2,Martham High's Mill,Thurne,4,2.4,white,32,Kevin Paynter,Kevin Paynter & Brian Weavers,9-05-12,3,,9,,
12,A,2,Martham High's Mill,Thurne,5,2.5,white,33,Wayne Anderson,Wayne Anderson & Steve Kindleysides,18-05-00,1,1st,2,2nd,
13,A,2,Martham High's Mill,Thurne,6,2.6,white,34,Richard Watson,Nick Larkin & Richard Watson,8-03-04,6,,12,,
14,A,2,Martham High's Mill,Thurne,7,2.7,white,35,Robert Houlding,Paul Chambers & Robert Houlding,10-14-04,2,,8,,
15,B,1,Potter Heigham Stagings,Thurne,1,3.1,white,11,Tony Gibbons,Brian Bygrave & Tony Gibbons,11-06,3,,10,,
16,B,1,Potter Heigham Stagings,Thurne,2,3.2,white,10,Paul Abbott,Paul Abbott & Steve Clark,12-15,2,,9,,
17,B,1,Potter Heigham Stagings,Thurne,3,3.3,white,9,Paul Chambers,Paul Chambers & Robert Houlding,5-02,6,,13,,
18,B,1,Potter Heigham Stagings,Thurne,4,3.4,white,8,Doug Botley,Gary Abbott & Doug Botley,10-09,4,,11,,
19,B,1,Potter Heigham Stagings,Thurne,5,3.5,white,7,Daniel Brydon,Daniel Brydon & Warren Martin,14-12,1,1st,6,,
20,B,1,Potter Heigham Stagings,Thurne,6,3.6,white,6,Robert Hubbard,Glenn Hubbard & Robert Hubbard,3-09,7,,14,,
21,B,1,Potter Heigham Stagings,Thurne,7,3.7,white,5,Steve Kindleysides,Wayne Anderson & Steve Kindleysides,9-12,5,,12,,
22,B,2,St Benets Bank A,Bure,1,4.1,white,1,Jason Brewster,Derek Adcock & Jason Brewster,20-03,4,,4,,5th
23,B,2,St Benets Bank A,Bure,2,4.2,white,2,Brian Weavers,Kevin Paynter & Brian Weavers,15-07,5,,5,,
24,B,2,St Benets Bank A,Bure,3,4.3,white,3,Alan Luetchford,Mark Banks & Alan Luetchford,22-12,3,,3,3rd,3rd
25,B,2,St Benets Bank A,Bure,4,4.4,white,4,Nick Larkin,Nick Larkin & Richard Watson,32-03,1,1st,1,1st,1st
26,B,2,St Benets Bank A,Bure,5,4.5,white,5,Mick Hanks,Karl Dowse & Mick Hanks,27-06,2,,2,2nd,2nd
27,B,2,St Benets Bank A,Bure,6,4.6,white,6,Lee Lawrence,Lee Lawrence & Chris Sykes,14-01,6,,7,,
28,B,2,St Benets Bank A,Bure,7,4.7,white,7,Neil Smith,Kevin Knights & Neil Smith,13-10,7,,8,,
