Order,Placing,Name,,R1-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weight
1,1st,Will Freeman &<br> Andy Leathers,1,38-05,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,38-05
2,2nd,Mick Hanks &<br> Martin Spence,2,26-12,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,26-12
3,3rd,Bob Nudd &<br> John Taylor,3,26-07,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,26-07
4,4th,Robert Houlding &<br> Colin Blake,4,26-01,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,26-01
5,5th,Paul Abbott &<br> Steve Clark,5,25-01,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,25-01
6,6th,Alan Luetchford &<br> Mark Banks,6,23-12,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,23-12
7,7th,Preston Gilding &<br> Ian Bailey,7,23-06,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,23-06
8,8th,Trevor Stacey &<br> Mark Campion,8,22-00,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,22-00
9,9th,Tony Gibbons &<br> Brian Bygrave,9,21-13,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,21-13
10,10th,Steve O'Rourke &<br> Andy Mead,10,21-04,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,21-04
11,11th,Mick Mirgaux &<br> Brian Weavers,11,20-03,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,20-03
