Order,Placing,Name,R1-P,R1-W,R1-W-Low,R2-P,R2-W,R2-W-Low,R3-P,R3-W,R3-W-Low,R4-P,R4-W,R4-W-Low,,,,,,,,,,Points,Weight,,Adj-P,Adj-W
1,1st,Barry Oliver  &<br>  Mark Murdoch,6,11-08,Y,2,35-07,,2,27-01,,5,53-05,,0,0-0,,0,0-0,,0,0-0,,15,127-05,2nd,9,115-13
2,2nd,Mick Hanks  &<br>  Martin Spence,8,9-05,Y,3,25-10,,5,30-05,,4,33-04,,0,0-0,,0,0-0,,0,0-0,,20,98-08,8th,12,89-03
3,3rd,Mark Banks  &<br>  Alan Luetchford,3,14-07,,4,25-08,,6,37-09,,11,22-11,Y,0,0-0,,0,0-0,,0,0-0,,24,100-03,7th,13,77-08
4,4th,Paul Chambers  &<br>  Karl Dowse,9,9-02,Y,8,23-03,,4,34-09,,3,35-15,,0,0-0,,0,0-0,,0,0-0,,24,102-13,5th,15,93-11
5,5th,Kevin Fuller  &<br>  Robert Hubbard,6,14-07,,4,41-14,,6,29-12,,12,20-14,Y,0,0-0,,0,0-0,,0,0-0,,28,106-15,3rd,16,86-01
6,6th,Tony Curtis  &<br>  Lee Lawrence,2,18-06,,10,23-15,,5,34-05,,12,28-00,Y,0,0-0,,0,0-0,,0,0-0,,29,104-10,4th,17,76-10
7,7th,Paul Abbott  &<br>  Steve Clark,9,17-01,,11,18-08,Y,7,22-03,,3,37-13,,0,0-0,,0,0-0,,0,0-0,,30,95-09,10th,19,77-01
8,8th,Richard Jacobs  &<br>  Andy Mead,10,18-10,Y,9,20-06,,9,27-09,,2,63-05,,0,0-0,,0,0-0,,0,0-0,,30,129-14,1st,20,111-04
9,9th,Bob Nudd  &<br>  John Taylor,4,22-09,,9,21-13,,7,26-10,,10,26-01,Y,0,0-0,,0,0-0,,0,0-0,,30,97-01,9th,20,71-00
10,10th,Ian Cochrane  &<br>  Kevin Knights,9,10-14,,13,20-14,Y,7,28-00,,5,30-08,,0,0-0,,0,0-0,,0,0-0,,34,90-04,13th,21,69-06
11,11th,Colin Blake  &<br>  Robert Houlding,10,12-02,Y,7,28-03,,10,23-13,,7,31-05,,0,0-0,,0,0-0,,0,0-0,,34,95-07,11th,24,83-05
12,12th,Matt Corne  &<br>  Dave Gooch,10,8-09,Y,6,25-11,,9,21-01,,9,34-07,,0,0-0,,0,0-0,,0,0-0,,34,89-12,14th,24,81-03
13,13th,Daren Mallett  &<br>  Gary Mallett,8,12-07,,8,28-05,,11,21-13,Y,8,29-15,,0,0-0,,0,0-0,,0,0-0,,35,92-08,12th,24,70-11
14,14th,Mark Campion  &<br>  Trevor Stacey,8,16-07,,9,23-07,,14,13-11,Y,8,25-08,,0,0-0,,0,0-0,,0,0-0,,39,79-01,18th,25,65-06
15,15th,Billy Hughes  &<br>  Steve O'Rourke,13,10-09,Y,8,24-05,,7,34-03,,11,31-09,,0,0-0,,0,0-0,,0,0-0,,39,100-10,6th,26,90-01
16,16th,Brian Bygrave  &<br>  Tony Gibbons,8,15-01,,9,20-03,,12,25-01,Y,10,24-15,,0,0-0,,0,0-0,,0,0-0,,39,85-04,15th,27,60-03
17,17th,Robin Austrin  &<br>  Ian Bailey,10,6-10,,10,18-09,,8,30-02,,15,17-10,Y,0,0-0,,0,0-0,,0,0-0,,43,72-15,20th,28,55-05
18,18th,Ian Holmes  &<br>  Terry Smith,12,13-01,Y,8,25-06,,12,18-04,,10,23-12,,0,0-0,,0,0-0,,0,0-0,,42,80-07,17th,30,67-06
19,19th,Mark Haverson  &<br>  Paul Hudson,8,20-14,,16,0-00,Y,9,21-10,,14,24-09,,0,0-0,,0,0-0,,0,0-0,,47,67-01,22nd,31,67-01
20,20th,Mick Mirgaux  &<br>  Brian Weavers,10,17-02,,9,24-07,,12,19-01,,18,0-00,Y,0,0-0,,0,0-0,,0,0-0,,49,60-10,24th,31,60-10
21,21st,Steven Day  &<br>  Paul Lawrence,13,10-15,,14,16-05,Y,9,25-11,,10,31-07,,0,0-0,,0,0-0,,0,0-0,,46,84-06,16th,32,68-01
22,22nd,Sean James  &<br>  Peter Gitsham,11,4-14,,11,18-12,,12,19-05,Y,10,19-06,,0,0-0,,0,0-0,,0,0-0,,44,62-05,23rd,32,43-00
23,23rd,Michael Craske  &<br>  Preston Gilding,12,6-06,,8,24-07,,13,12-15,Y,13,29-03,,0,0-0,,0,0-0,,0,0-0,,46,72-15,20th,33,60-00
24,24th,Alan Dorrian  &<br>  John Southgate,12,12-03,,14,11-08,Y,12,28-12,,10,25-14,,0,0-0,,0,0-0,,0,0-0,,48,78-05,19th,34,66-13
25,25th,Mick Davey  &<br>  Pip Mills,12,7-06,,14,10-07,,14,14-06,,15,8-03,Y,0,0-0,,0,0-0,,0,0-0,,55,40-06,25th,40,32-03
