Order,Placing,Name,,R1-W,,,R2-W,,,R3-W,,,R4-W,,,R5-W,,,,,,,,,,,,,,,,,,Weight,,
1,1st,Will Freeman &<br> Andy Leathers,1,38-05,,2,37-05,,2,45-03,,2,49-03,,5,50-10,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,220-10,1st,220-10
2,2nd,Bob Nudd &<br> John Taylor,3,26-07,,1,40-10,,4,38-03,,3,48-08,,15,41-02,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,194-14,2nd,194-14
3,3rd,Robert Houlding &<br> Colin Blake,4,26-01,,6,30-12,,7,32-08,,7,38-01,,3,60-04,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,187-10,3rd,187-10
4,4th,Mick Hanks &<br> Martin Spence,2,26-12,,14,22-02,,9,31-04,,4,48-01,,7,49-14,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,178-01,4th,178-01
5,5th,Karl Dowse &<br> Paul Chambers,26,10-02,,17,20-11,,1,47-02,,8,38-00,,2,61-00,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,176-15,5th,176-15
6,6th,Alan Luetchford &<br> Mark Banks,6,23-12,,9,25-11,,8,32-00,,1,49-04,,12,43-14,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,174-09,6th,174-09
7,7th,Steve O'Rourke &<br> Andy Mead,10,21-04,,12,23-09,,5,36-06,,5,43-07,,10,44-09,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,169-03,7th,169-03
8,8th,Robert Hubbard &<br> Kevin Fuller,18,14-10,,5,31-03,,6,35-11,,21,22-15,,1,63-00,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,167-07,8th,167-07
9,9th,Barry Oliver &<br> Mark Murdoch,15,15-09,,4,31-06,,3,38-09,,9,36-12,,17,39-06,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,161-10,9th,161-10
10,10th,Paul Abbott &<br> Steve Clark,5,25-01,,18,20-02,,17,26-15,,10,36-04,,6,50-08,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,158-14,10th,158-14
11,11th,Mick Mirgaux &<br> Brian Weavers,11,20-03,,16,21-05,,20,22-14,,6,42-01,,8,48-01,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,154-08,11th,154-08
12,12th,Paul Lawrence &<br> Steve Day,16,15-08,,8,27-12,,16,27-01,,25,17-11,,4,59-02,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,147-02,12th,147-02
13,13th,Richard Jacobs &<br> Kevin Paynter,23,12-14,,7,28-10,,18,23-06,,14,32-06,,14,43-01,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,140-05,13th,140-05
14,14th,Daren Mallett &<br> Dickie Blew,12,19-03,,3,31-15,,15,27-03,,18,28-00,,20,33-09,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,139-14,14th,139-14
15,15th,Kevin Knights &<br> Ian Cochrane,14,16-10,,15,21-12,,22,21-11,,16,29-05,,9,46-08,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,135-14,15th,135-14
16,16th,Trevor Stacey &<br> Mark Campion,8,22-00,,10,25-01,,10,31-01,,23,21-15,,22,31-12,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,131-13,16th,131-13
17,17th,Paul Hudson &<br> Mark Haverson,22,13-07,,24,12-04,,19,23-04,,13,34-04,,11,44-06,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,127-09,17th,127-09
18,18th,Tony Curtis &<br> Lee Lawrence,17,14-14,,11,24-04,,11,30-15,,17,28-06,,25,26-05,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,124-12,18th,124-12
19,19th,Richard Watson &<br> Robin Austrin,21,13-10,,19,18-13,,25,20-01,,15,31-09,,16,40-05,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,124-06,19th,124-06
20,20th,Steve Allgood &<br> Roger Pike,25,10-08,,23,12-12,,21,22-08,,11,35-07,,18,38-07,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,119-10,20th,119-10
21,21st,Preston Gilding &<br> Ian Bailey,7,23-06,,20,15-13,,14,27-10,,24,19-00,,21,32-12,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,118-09,21st,118-09
22,22nd,Tony Gibbons &<br> Brian Bygrave,9,21-13,,21,14-10,,23,21-10,,12,34-07,,26,24-00,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,116-08,22nd,116-08
23,23rd,Ian Holmes &<br> Terry Smith,20,13-13,,27,9-09,,24,20-05,,19,26-01,,13,43-10,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,113-06,23rd,113-06
24,24th,Andy Ison &<br> John Southgate,24,12-04,,22,14-09,,13,28-13,,22,22-00,,24,27-08,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,105-02,24th,105-02
25,25th,Paul Bultitude &<br> Bob Morris,27,8-10,,13,22-12,,12,30-01,,26,17-07,,27,17-08,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,96-06,25th,96-06
26,26th,Pip Mills &<br> Colin Keely,19,14-09,,26,10-10,,26,19-01,,20,23-14,,23,27-14,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,96-00,26th,96-00
27,27th,Martin Johnson &<br> Ray Thurston,28,3-08,,25,11-06,,27,17-04,,27,17-02,,19,34-10,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,83-14,27th,83-14
