Order,Placing,Name,,R1-W,,,R2-W,,,R3-W,,,R4-W,,,R5-W,,,R6-W,,,,,,,,,,,,,,,Weight,,
1,1st,Will Freeman &<br> Andy Leathers,1,38-05,,2,37-05,,2,45-03,,2,49-03,,5,50-10,,6,41-13,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,262-07,1st,262-07
2,2nd,Bob Nudd &<br> John Taylor,3,26-07,,1,40-10,,4,38-03,,3,48-08,,15,41-02,,2,50-11,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,245-09,2nd,245-09
3,3rd,Alan Luetchford &<br> Mark Banks,6,23-12,,9,25-11,,8,32-00,,1,49-04,,12,43-14,,1,65-09,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,240-02,3rd,240-02
4,4th,Robert Houlding &<br> Colin Blake,4,26-01,,6,30-12,,7,32-08,,7,38-01,,3,60-04,,3,49-13,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,237-07,4th,237-07
5,5th,Robert Hubbard &<br> Kevin Fuller,18,14-10,,5,31-03,,6,35-11,,21,22-15,,1,63-00,,5,47-08,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,214-15,5th,214-15
6,6th,Mick Hanks &<br> Martin Spence,2,26-12,,14,22-02,,9,31-04,,4,48-01,,7,49-14,,14,34-07,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,212-08,6th,212-08
7,7th,Karl Dowse &<br> Paul Chambers,26,10-02,,17,20-11,,1,47-02,,8,38-00,,2,61-00,,15,33-13,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,210-12,7th,210-12
8,8th,Barry Oliver &<br> Mark Murdoch,15,15-09,,4,31-06,,3,38-09,,9,36-12,,17,39-06,,4,47-12,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,209-06,8th,209-06
9,9th,Steve O'Rourke &<br> Andy Mead,10,21-04,,12,23-09,,5,36-06,,5,43-07,,10,44-09,,19,27-10,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,196-13,9th,196-13
10,10th,Paul Abbott &<br> Steve Clark,5,25-01,,18,20-02,,17,26-15,,10,36-04,,6,50-08,,12,35-13,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,194-11,10th,194-11
11,11th,Mick Mirgaux &<br> Brian Weavers,11,20-03,,16,21-05,,20,22-14,,6,42-01,,8,48-01,,9,38-12,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,193-04,11th,193-04
12,12th,Richard Jacobs &<br> Kevin Paynter,23,12-14,,7,28-10,,18,23-06,,14,32-06,,14,43-01,,10,36-09,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,176-14,12th,176-14
13,13th,Paul Lawrence &<br> Steve Day,16,15-08,,8,27-12,,16,27-01,,25,17-11,,4,59-02,,18,27-13,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,174-15,13th,174-15
14,14th,Paul Hudson &<br> Mark Haverson,22,13-07,,24,12-04,,19,23-04,,13,34-04,,11,44-06,,8,40-06,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,167-15,14th,167-15
15,15th,Kevin Knights &<br> Ian Cochrane,14,16-10,,15,21-12,,22,21-11,,16,29-05,,9,46-08,,17,27-15,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,163-13,15th,163-13
16,16th,Richard Watson &<br> Robin Austrin,21,13-10,,19,18-13,,25,20-01,,15,31-09,,16,40-05,,11,36-00,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,160-06,16th,160-06
17,17th,Trevor Stacey &<br> Mark Campion,8,22-00,,10,25-01,,10,31-01,,23,21-15,,22,31-12,,16,28-06,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,160-03,17th,160-03
18,18th,Tony Gibbons &<br> Brian Bygrave,9,21-13,,21,14-10,,23,21-10,,12,34-07,,26,24-00,,7,40-09,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,157-01,18th,157-01
19,19th,Daren Mallett &<br> Dickie Blew,12,19-03,,3,31-15,,15,27-03,,18,28-00,,20,33-09,,27,14-14,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,154-12,19th,154-12
20,20th,Tony Curtis &<br> Lee Lawrence,17,14-14,,11,24-04,,11,30-15,,17,28-06,,25,26-05,,20,26-06,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,151-02,20th,151-02
21,21st,Ian Holmes &<br> Terry Smith,20,13-13,,27,9-09,,24,20-05,,19,26-01,,13,43-10,,13,35-02,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,148-08,21st,148-08
22,22nd,Steve Allgood &<br> Roger Pike,25,10-08,,23,12-12,,21,22-08,,11,35-07,,18,38-07,,22,24-10,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,144-04,22nd,144-04
23,23rd,Preston Gilding &<br> Ian Bailey,7,23-06,,20,15-13,,14,27-10,,24,19-00,,21,32-12,,21,24-11,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,143-04,23rd,143-04
24,24th,Andy Ison &<br> John Southgate,24,12-04,,22,14-09,,13,28-13,,22,22-00,,24,27-08,,24,19-00,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,124-02,24th,124-02
25,25th,Paul Bultitude &<br> Bob Morris,27,8-10,,13,22-12,,12,30-01,,26,17-07,,27,17-08,,25,18-00,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,114-06,25th,114-06
26,26th,Pip Mills &<br> Colin Keely,19,14-09,,26,10-10,,26,19-01,,20,23-14,,23,27-14,,28,14-10,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,110-10,26th,110-10
27,27th,Martin Johnson &<br> Ray Thurston,28,3-08,,25,11-06,,27,17-04,,27,17-02,,19,34-10,,23,22-01,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,105-15,27th,105-15
28,28th,David Bowman &<br> George Popp,13,17-04,,28,8-00,,28,14-01,,28,9-09,,28,10-05,,26,17-14,,0,0-0,Y,0,0-0,,0,0-0,,0,0-0,,0,77-01,28th,77-01
