Order,Placing,Name,,R1-W,,,R2-W,,,R3-W,,,R4-W,,,R5-W,,,R6-W,,,R7-W,,,,,,,,,,,,Weight,Weight-Pos,Adj-W
1,1st,Will Freeman &<br> Andy Leathers,1,38-05,,2,37-05,,2,45-03,,2,49-03,,5,50-10,,6,41-13,,15,29-14,Y,0,0-0,,0,0-0,,0,0-0,,0,292-05,1st,262-07
2,2nd,Bob Nudd &<br> John Taylor,3,26-07,Y,1,40-10,,4,38-03,,3,48-08,,15,41-02,,2,50-11,,4,35-14,,0,0-0,,0,0-0,,0,0-0,,0,281-07,2nd,255-00
3,3rd,Robert Houlding &<br> Colin Blake,4,26-01,Y,6,30-12,,7,32-08,,7,38-01,,3,60-04,,3,49-13,,13,30-14,,0,0-0,,0,0-0,,0,0-0,,0,268-05,3rd,242-04
4,4th,Alan Luetchford &<br> Mark Banks,6,23-12,,9,25-11,,8,32-00,,1,49-04,,12,43-14,,1,65-09,,26,20-05,Y,0,0-0,,0,0-0,,0,0-0,,0,260-07,4th,240-02
5,5th,Robert Hubbard &<br> Kevin Fuller,18,14-10,Y,5,31-03,,6,35-11,,21,22-15,,1,63-00,,5,47-08,,3,37-07,,0,0-0,,0,0-0,,0,0-0,,0,252-06,6th,237-12
6,6th,Mick Hanks &<br> Martin Spence,2,26-12,,14,22-02,Y,9,31-04,,4,48-01,,7,49-14,,14,34-07,,1,45-03,,0,0-0,,0,0-0,,0,0-0,,0,257-11,5th,235-09
7,7th,Karl Dowse &<br> Paul Chambers,26,10-02,Y,17,20-11,,1,47-02,,8,38-00,,2,61-00,,15,33-13,,22,23-15,,0,0-0,,0,0-0,,0,0-0,,0,234-11,8th,224-09
8,8th,Barry Oliver &<br> Mark Murdoch,15,15-09,Y,4,31-06,,3,38-09,,9,36-12,,17,39-06,,4,47-12,,19,25-13,,0,0-0,,0,0-0,,0,0-0,,0,235-03,7th,219-10
9,9th,Steve O'Rourke &<br> Andy Mead,10,21-04,Y,12,23-09,,5,36-06,,5,43-07,,10,44-09,,19,27-10,,5,35-07,,0,0-0,,0,0-0,,0,0-0,,0,232-04,9th,211-00
10,10th,Mick Mirgaux &<br> Brian Weavers,11,20-03,Y,16,21-05,,20,22-14,,6,42-01,,8,48-01,,9,38-12,,6,35-05,,0,0-0,,0,0-0,,0,0-0,,0,228-09,10th,208-06
11,11th,Paul Abbott &<br> Steve Clark,5,25-01,,18,20-02,Y,17,26-15,,10,36-04,,6,50-08,,12,35-13,,11,32-01,,0,0-0,,0,0-0,,0,0-0,,0,226-12,11th,206-10
12,12th,Richard Jacobs &<br> Kevin Paynter,23,12-14,Y,7,28-10,,18,23-06,,14,32-06,,14,43-01,,10,36-09,,8,34-02,,0,0-0,,0,0-0,,0,0-0,,0,211-00,12th,198-02
13,13th,Paul Hudson &<br> Mark Haverson,22,13-07,,24,12-04,Y,19,23-04,,13,34-04,,11,44-06,,8,40-06,,2,39-03,,0,0-0,,0,0-0,,0,0-0,,0,207-02,13th,194-14
14,14th,Paul Lawrence &<br> Steve Day,16,15-08,Y,8,27-12,,16,27-01,,25,17-11,,4,59-02,,18,27-13,,22,23-15,,0,0-0,,0,0-0,,0,0-0,,0,198-14,14th,183-06
15,15th,Richard Watson &<br> Robin Austrin,21,13-10,Y,19,18-13,,25,20-01,,15,31-09,,16,40-05,,11,36-00,,7,35-00,,0,0-0,,0,0-0,,0,0-0,,0,195-06,15th,181-12
16,16th,Kevin Knights &<br> Ian Cochrane,14,16-10,Y,15,21-12,,22,21-11,,16,29-05,,9,46-08,,17,27-15,,16,29-01,,0,0-0,,0,0-0,,0,0-0,,0,192-14,16th,176-04
17,17th,Ian Holmes &<br> Terry Smith,20,13-13,,27,9-09,Y,24,20-05,,19,26-01,,13,43-10,,13,35-02,,9,34-00,,0,0-0,,0,0-0,,0,0-0,,0,182-08,20th,172-15
18,18th,Tony Gibbons &<br> Brian Bygrave,9,21-13,,21,14-10,Y,23,21-10,,12,34-07,,26,24-00,,7,40-09,,14,30-00,,0,0-0,,0,0-0,,0,0-0,,0,187-01,17th,172-07
19,19th,Daren Mallett &<br> Dickie Blew,12,19-03,,3,31-15,,15,27-03,,18,28-00,,20,33-09,,27,14-14,Y,10,32-02,,0,0-0,,0,0-0,,0,0-0,,0,186-14,18th,172-00
20,20th,Trevor Stacey &<br> Mark Campion,8,22-00,,10,25-01,,10,31-01,,23,21-15,Y,22,31-12,,16,28-06,,20,25-06,,0,0-0,,0,0-0,,0,0-0,,0,185-09,19th,163-10
21,21st,Steve Allgood &<br> Roger Pike,25,10-08,Y,23,12-12,,21,22-08,,11,35-07,,18,38-07,,22,24-10,,18,27-01,,0,0-0,,0,0-0,,0,0-0,,0,171-05,23rd,160-13
22,22nd,Tony Curtis &<br> Lee Lawrence,17,14-14,Y,11,24-04,,11,30-15,,17,28-06,,25,26-05,,20,26-06,,21,24-02,,0,0-0,,0,0-0,,0,0-0,,0,175-04,21st,160-06
23,23rd,Preston Gilding &<br> Ian Bailey,7,23-06,,20,15-13,Y,14,27-10,,24,19-00,,21,32-12,,21,24-11,,17,28-06,,0,0-0,,0,0-0,,0,0-0,,0,171-10,22nd,155-13
24,24th,Andy Ison &<br> John Southgate,24,12-04,Y,22,14-09,,13,28-13,,22,22-00,,24,27-08,,24,19-00,,24,21-14,,0,0-0,,0,0-0,,0,0-0,,0,146-00,24th,133-12
25,25th,Martin Johnson &<br> Ray Thurston,28,3-08,Y,25,11-06,,27,17-04,,27,17-02,,19,34-10,,23,22-01,,12,31-02,,0,0-0,,0,0-0,,0,0-0,,0,137-01,25th,133-09
