Order,Placing,Name,,R1-W,R1-W-Low,,R2-W,R2-W-Low,,R3-W,R3-W-Low,,R4-W,R4-W-Low,,R5-W,R5-W-Low,,R6-W,R6-W-Low,,R7-W,R7-W-Low,,R8-W,R8-W-Low,,,,,,,,Weight,Weight-Pos,Adj-W
1,1st,Will Freeman &<br> Andy Leathers,1,38-05,,2,37-05,,2,45-03,,2,49-03,,5,50-10,,6,41-13,,15,29-14,Y,2,42-08,,0,0-0,,0,0-0,,0,334-13,1st,304-15
2,2nd,Bob Nudd &<br> John Taylor,3,26-07,Y,1,40-10,,4,38-03,,3,48-08,,15,41-02,,2,50-11,,4,35-14,,4,38-02,,0,0-0,,0,0-0,,0,319-09,2nd,293-02
3,3rd,Mick Hanks &<br> Martin Spence,2,26-12,,14,22-02,Y,9,31-04,,4,48-01,,7,49-14,,14,34-07,,1,45-03,,3,41-07,,0,0-0,,0,0-0,,0,299-02,3rd,277-00
4,4th,Alan Luetchford &<br> Mark Banks,6,23-12,,9,25-11,,8,32-00,,1,49-04,,12,43-14,,1,65-09,,26,20-05,Y,6,35-07,,0,0-0,,0,0-0,,0,295-14,5th,275-09
5,5th,Robert Houlding &<br> Colin Blake,4,26-01,Y,6,30-12,,7,32-08,,7,38-01,,3,60-04,,3,49-13,,13,30-14,,12,29-04,,0,0-0,,0,0-0,,0,297-09,4th,271-08
6,6th,Robert Hubbard &<br> Kevin Fuller,18,14-10,Y,5,31-03,,6,35-11,,21,22-15,,1,63-00,,5,47-08,,3,37-07,,11,29-05,,0,0-0,,0,0-0,,0,281-11,7th,267-01
7,7th,Barry Oliver &<br> Mark Murdoch,15,15-09,Y,4,31-06,,3,38-09,,9,36-12,,17,39-06,,4,47-12,,19,25-13,,1,47-00,,0,0-0,,0,0-0,,0,282-03,6th,266-10
8,8th,Karl Dowse &<br> Paul Chambers,26,10-02,Y,17,20-11,,1,47-02,,8,38-00,,2,61-00,,15,33-13,,22,23-15,,18,26-04,,0,0-0,,0,0-0,,0,260-15,10th,250-13
9,9th,Paul Abbott &<br> Steve Clark,5,25-01,,18,20-02,Y,17,26-15,,10,36-04,,6,50-08,,12,35-13,,11,32-01,,5,36-12,,0,0-0,,0,0-0,,0,263-08,8th,243-06
10,10th,Mick Mirgaux &<br> Brian Weavers,11,20-03,Y,16,21-05,,20,22-14,,6,42-01,,8,48-01,,9,38-12,,6,35-05,,7,34-05,,0,0-0,,0,0-0,,0,262-14,9th,242-11
11,11th,Steve O'Rourke &<br> Andy Mead,10,21-04,Y,12,23-09,,5,36-06,,5,43-07,,10,44-09,,19,27-10,,5,35-07,,19,26-01,,0,0-0,,0,0-0,,0,258-05,11th,237-01
12,12th,Richard Jacobs &<br> Kevin Paynter,23,12-14,Y,7,28-10,,18,23-06,,14,32-06,,14,43-01,,10,36-09,,9,34-02,,15,27-02,,0,0-0,,0,0-0,,0,238-02,12th,225-04
13,13th,Paul Hudson &<br> Mark Haverson,22,13-07,,24,12-04,Y,19,23-04,,13,34-04,,11,44-06,,8,40-06,,2,39-03,,21,23-13,,0,0-0,,0,0-0,,0,230-15,13th,218-11
14,14th,Richard Watson &<br> Robin Austrin,21,13-10,Y,19,18-13,,25,20-01,,15,31-09,,16,40-05,,11,36-00,,7,35-00,,14,27-06,,0,0-0,,0,0-0,,0,222-12,15th,209-02
15,15th,Paul Lawrence &<br> Steve Day,16,15-08,Y,8,27-12,,16,27-01,,25,17-11,,4,59-02,,18,27-13,,22,23-15,,20,24-00,,0,0-0,,0,0-0,,0,222-14,14th,207-06
16,16th,Kevin Knights &<br> Ian Cochrane,14,16-10,Y,15,21-12,,22,21-11,,16,29-05,,9,46-08,,17,27-15,,16,29-01,,9,29-12,,0,0-0,,0,0-0,,0,222-10,16th,206-00
17,17th,Ian Holmes &<br> Terry Smith,20,13-13,,27,9-09,Y,24,20-05,,19,26-01,,13,43-10,,13,35-02,,8,34-10,,13,28-12,,0,0-0,,0,0-0,,0,211-14,19th,202-05
18,18th,Daren Mallett &<br> Dickie Blew,12,19-03,,3,31-15,,15,27-03,,18,28-00,,20,33-09,,27,14-14,Y,10,32-02,,10,29-10,,0,0-0,,0,0-0,,0,216-08,17th,201-10
19,19th,Tony Gibbons &<br> Brian Bygrave,9,21-13,,21,14-10,Y,23,21-10,,12,34-07,,26,24-00,,7,40-09,,14,30-00,,17,26-07,,0,0-0,,0,0-0,,0,213-08,18th,198-14
20,20th,Tony Curtis &<br> Lee Lawrence,17,14-14,Y,11,24-04,,11,30-15,,17,28-06,,25,26-05,,20,26-06,,21,24-02,,8,34-00,,0,0-0,,0,0-0,,0,209-04,20th,194-06
21,21st,Trevor Stacey &<br> Mark Campion,8,22-00,,10,25-01,,10,31-01,,23,21-15,,22,31-12,,16,28-06,,20,25-06,,22,21-14,Y,0,0-0,,0,0-0,,0,207-07,21st,185-09
22,22nd,Steve Allgood &<br> Roger Pike,25,10-08,Y,23,12-12,,21,22-08,,11,35-07,,18,38-07,,22,24-10,,18,27-01,,25,19-13,,0,0-0,,0,0-0,,0,191-02,23rd,180-10
23,23rd,Preston Gilding &<br> Ian Bailey,7,23-06,,20,15-13,Y,14,27-10,,24,19-00,,21,32-12,,21,24-11,,17,28-06,,24,20-07,,0,0-0,,0,0-0,,0,192-01,22nd,176-04
24,24th,Martin Johnson &<br> Ray Thurston,28,3-08,Y,25,11-06,,27,17-04,,27,17-02,,19,34-10,,23,22-01,,12,31-02,,16,26-12,,0,0-0,,0,0-0,,0,163-13,25th,160-05
25,25th,Andy Ison &<br> John Southgate,24,12-04,Y,22,14-09,,13,28-13,,22,22-00,,24,27-08,,24,19-00,,24,21-14,,23,21-12,,0,0-0,,0,0-0,,0,167-12,24th,155-08
26,26th,Pip Mills &<br> Colin Keely,19,14-09,,26,10-10,Y,26,19-01,,20,23-14,,23,27-14,,28,14-10,,25,21-03,,27,15-12,,0,0-0,,0,0-0,,0,147-09,26th,136-15
27,27th,Paul Bultitude &<br> Bob Morris,27,8-10,,13,22-12,,12,30-01,,26,17-07,,27,17-08,,25,18-00,,28,0-00,Y,26,15-13,,0,0-0,,0,0-0,,0,130-03,27th,130-03
28,28th,David Bowman &<br> George Popp,13,17-04,,28,8-00,Y,28,14-01,,28,9-09,,28,10-05,,26,17-14,,27,46338,,28,10-14,,0,0-0,,0,0-0,,0,99-11,28th,91-11
