Order,Placing,Name,Points,Weight
1,1st,Daiwa Angling Direct Black,14,59-06-00
2,2nd,PW Angling,16,59-12-00
3,3rd,Daiwa Angling Direct Suffolk,24,49-11-00
4,4th,Weavo's,25,48-03-12
5,5th,Cresta,28,48-12-00
6,6th,The N.O.C,29,45-02-00
7,7th,Rodney's Heroes,30,43-10-00
8,8th,Daiwa LBC,34,41-14-00
9,9th,Clarky's,34,38-08-00
10,10th,The Dave Partlett Quartet,36,39-09-00
11,11th,The Posh Boys,36,38-01-00
12,11th,Daiwa Angling Direct Platinum,36,38-01-00
13,13th,N.D.A.A.,41,33-10-00
14,14th,Diss Angling Centre,43,32-15-00
15,15th,Dukes,53,22-02-00
,,,,
