Order,Placing,Name,R1-Points,R1-W-Lowest,R1-Weight,R2-Points,R2-W-Lowest,R2-Weight,Tot-Pts,Tot-Weight
1,1st,Daiwa Angling Direct Black,14,,59-06-00,21,,54-08,35,113-14-00
2,2nd,PW Angling,16,,59-12-00,21,,59-06,37,119-02-00
3,3rd,Cresta,28,,48-12-00,10,,73-00,38,121-12-00
4,4th,Daiwa Angling Direct Suffolk,24,,49-11-00,30,,51-10,54,101-05-00
5,5th,Weavo's,25,,48-03-12,29,,47-08,54,95-11-12
6,6th,The N.O.C,29,,45-02-00,29,,43-09,58,88-11-00
7,7th,Clarky's,34,,38-08-00,30,,46-02,64,84-10-00
8,8th,The Dave Parlett Quartet,36,,39-09-00,30,,46-11,66,86-04-00
9,9th,Rodney's Heroes,30,,43-10-00,36,,39-05,66,82-15-00
10,10th,Daiwa LBC,34,,41-14-00,36,,40-10,70,82-08-00
11,11th,The Posh Boys,36,,38-01-00,36,,38-08,72,76-09-00
12,11th,Daiwa Angling Direct Platinum,36,,38-01-00,36,,37-00,72,75-01-00
13,13th,N.D.A.A.,41,,33-10-00,46,,32-05,87,65-15-00
14,14th,Diss Angling Centre,43,,32-15-00,47,,27-03,90,60-02-00
15,15th,Dukes,53,,22-02-00,40,,35-13,93,57-15-00
