Order,Placing,Name,R1-Points,R1-W-Lowest,R1-Weight,R2-Points,R2-W-Lowest,R2-Weight,R3-Points,R3-W-Lowest,R3-Weight,Tot-Pts,Tot-Weight
1,1st,Cresta,28,,48-12-00,10,,73-00,20,,43-03-00,58,164-15-00
2,2nd,PW Angling,16,,59-12-00,21,,59-06,23,,38-04-00,60,157-06-00
3,3rd,Daiwa Angling Direct Black,14,,59-06-00,21,,54-08,39,,28-15-00,74,142-13-00
4,4th,Daiwa Angling Direct Suffolk,24,,49-11-00,30,,51-10,24,,40-07-00,78,141-12-00
5,5th,The Dave Parlett Quartet,36,,39-09-00,30,,46-11,21,,45-09-08,87,131-13-08
6,6th,Weavo's,25,,48-03-12,29,,47-08,33,,32-09-00,87,128-04-12
7,7th,The Posh Boys,36,,38-01-00,36,,38-08,22,,43-00-00,94,119-09-00
8,8th,Clarky's,34,,38-08-00,30,,46-02,35,,32-00-00,99,116-10-00
9,9th,The N.O.C,29,,45-02-00,29,,43-09,41,,25-13-04,99,114-08-04
10,10th,Rodney's Heroes,30,,43-10-00,36,,39-05,36,,31-05-00,102,114-04-00
11,11th,Daiwa LBC,34,,41-14-00,36,,40-10,37,,26-06-00,107,108-14-00
12,11th,Diss Angling Centre,43,,32-15-00,47,,27-03,19,,44-11-00,109,104-13-00
13,13th,Daiwa Angling Direct Platinum,36,,38-01-00,36,,37-00,47,,20-01-08,119,95-02-08
14,14th,N.D.A.A.,41,,33-10-00,46,,32-05,37,,29-14-00,124,95-13-00
15,15th,Dukes,53,,22-02-00,40,,35-13,45,,24-13-00,138,82-12-00
