Order,Placing,Name,R1-Points,R1-Drams,R1-W-Lowest,R1-Weight,R2-Points,R2-Drams,R2-W-Lowest,R2-Weight,R3-Points,R3-Drams,R3-W-Lowest,R3-Weight,R4-Points,R4-Drams,R4-W-Lowest,R4-Weight,Tot-Pts,Tot-Weight
1,1st,Cresta,28,12480,,48-12-00,10,18688,,73-00,20,11056,,43-03-00,17,11904,,46-08-00,75,211-07-00
2,2nd,PW Angling,16,15296,,59-12-00,21,15200,,59-06,23,9792,,38-04-00,26,10660,,41-10-04,86,199-00-04
3,3rd,Daiwa Angling Direct Black,14,15200,,59-06-00,21,13952,,54-08,39,7408,,28-15-00,22,11808,,46-02-00,96,188-15-00
4,4th,Daiwa Angling Direct Suffolk,24,12720,,49-11-00,30,13216,,51-10,24,10352,,40-07-00,28,10348,,40-06-12,106,182-02-12
5,5th,Weavo's,25,12348,,48-03-12,29,12160,,47-08,33,8336,,32-09-00,25,11372,,44-06-12,112,172-11-08
6,6th,Rodney's Heroes,30,11168,,43-10-00,36,10064,,39-05,36,8016,,31-05-00,20,11016,,43-00-08,122,157-04-08
7,7th,Diss Angling Centre,43,8432,,32-15-00,47,6960,,27-03,19,11440,,44-11-00,14,12644,,49-06-04,123,154-03-04
8,8th,The Posh Boys,36,9744,,38-01-00,36,9856,,38-08,22,11008,,43-00-00,37,8456,,33-00-08,131,152-09-08
9,9th,Daiwa LBC,34,10720,,41-14-00,36,10400,,40-10,37,6752,,26-06-00,26,10184,,39-12-08,133,148-10-08
10,10th,The N.O.C,29,11552,,45-02-00,29,11152,,43-09,41,6612,,25-13-04,37,9348,,36-08-04,136,151-00-08
11,11th,The Dave Parlett Quartet,36,10128,,39-09-00,30,11952,,46-11,21,11672,,45-09-08,53,5280,,20-10-00,140,152-07-08
12,12th,Daiwa Angling Direct Platinum,36,9744,,38-01-00,36,9472,,37-00,47,5144,,20-01-08,28,12768,,49-14-00,147,145-00-08
13,13th,Clarky's,34,9856,,38-08-00,30,11808,,46-02,35,8192,,32-00-00,50,6320,,24-11-00,149,141-05-00
14,14th,N.D.A.A.,41,8608,,33-10-00,46,8272,,32-05,37,7648,,29-14-00,43,7724,,30-02-12,167,125-15-12
15,15th,Dukes,53,5664,,22-02-00,40,9168,,35-13,45,6352,,24-13-00,49,5632,,22-00-00,187,104-12-00
