Order,Placing,Name,R1-P,R1-W,R1-W-Low,R2-P,R2-W,R2-W-Low,,,,,,,,,,,,,,,,Points,Weight,,
1,1st,Mark Banks  &<br>  Alan Luetchford,3,14-07,,4,25-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,7,39-15,8th,39-15
2,2nd,Barry Oliver  &<br>  Mark Murdoch,6,11-08,,2,35-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,8,46-15,2nd,46-15
3,3rd,Kevin Fuller  &<br>  Robert Hubbard,6,14-07,,4,41-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,10,56-05,1st,56-05
4,4th,Mick Hanks  &<br>  Martin Spence,8,9-05,,3,25-10,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,11,34-15,14th,34-15
5,5th,Tony Curtis  &<br>  Lee Lawrence,2,18-06,,10,23-15,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,12,42-05,4th,42-05
6,6th,Bob Nudd  &<br>  John Taylor,4,22-09,,9,21-13,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,13,44-06,3rd,44-06
7,7th,Daren Mallett  &<br>  Gary Mallett,8,12-07,,8,28-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,40-12,6th,40-12
8,8th,Matt Corne  &<br>  Dave Gooch,10,8-09,,6,25-11,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,16,34-04,16th,34-04
9,9th,Colin Blake  &<br>  Robert Houlding,10,12-02,,7,28-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,40-05,7th,40-05
10,10th,Mark Campion  &<br>  Trevor Stacey,8,16-07,,9,23-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,39-14,9th,39-14
11,11th,Brian Bygrave  &<br>  Tony Gibbons,8,15-01,,9,20-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,35-04,13th,35-04
12,12th,Paul Chambers  &<br>  Karl Dowse,9,9-02,,8,23-03,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,17,32-05,17th,32-05
13,13th,Mick Mirgaux  &<br>  Brian Weavers,10,17-02,,9,24-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,41-09,5th,41-09
14,14th,Richard Jacobs  &<br>  Andy Mead,10,18-10,,9,20-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,19,39-00,10th,39-00
15,15th,Ian Holmes  &<br>  Terry Smith,12,13-01,,8,25-06,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,38-07,11th,38-07
16,16th,Paul Abbott  &<br>  Steve Clark,9,17-01,,11,18-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,35-09,12th,35-09
17,17th,Michael Craske  &<br>  Preston Gilding,12,6-06,,8,24-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,30-13,19th,30-13
18,18th,Robin Austrin  &<br>  Ian Bailey,10,6-10,,10,18-09,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,20,25-03,21st,25-03
19,19th,Billy Hughes  &<br>  Steve O'Rourke,13,10-09,,8,24-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,21,34-14,15th,34-14
20,20th,Ian Cochrane  &<br>  Kevin Knights,9,10-14,,13,20-14,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,22,31-12,18th,31-12
21,21st,Sean James  &<br>  Peter Gitsham,11,4-14,,11,18-12,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,22,23-10,23rd,23-10
22,22nd,Mark Haverson  &<br>  Paul Hudson,8,20-14,,16,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,24,20-14,24th,20-14
23,23rd,Alan Dorrian  &<br>  John Southgate,12,12-03,,14,11-08,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,26,23-11,22nd,23-11
24,24th,Mick Davey  &<br>  Pip Mills,12,7-06,,14,10-07,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,26,17-13,25th,17-13
25,25th,Steven Day  &<br>  Paul Lawrence,13,10-15,,14,16-05,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,27,27-04,20th,27-04
26,26th,Mick Burch  &<br>  Richard Watson,14,5-08,,16,0-00,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,0,0-0,,30,5-08,26th,5-08
